date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap
1987-12-28,824.4000244,824.4000244,824.4000244,824.4000244,824.4000244,0,0,0.0
1987-12-29,810.9000244,810.9000244,810.9000244,810.9000244,810.9000244,0,0,0.0
1987-12-30,823.2000122,823.2000122,823.2000122,823.2000122,823.2000122,0,0,0.0
1988-01-04,833.5999756,833.5999756,833.5999756,833.5999756,833.5999756,0,0,0.0
1988-01-05,879.2999878,879.2999878,879.2999878,879.2999878,879.2999878,0,0,0.0
1988-01-06,906.0,906.0,906.0,906.0,906.0,0,0,0.0
1988-01-07,911.5,911.5,911.5,911.5,911.5,0,0,0.0
1988-01-08,895.2999878,895.2999878,895.2999878,895.2999878,895.2999878,0,0,0.0
1988-01-11,849.0999756,849.0999756,849.0999756,849.0999756,849.0999756,0,0,0.0
1988-01-12,870.5,870.5,870.5,870.5,870.5,0,0,0.0
1988-01-13,853.9000244,853.9000244,853.9000244,853.9000244,853.9000244,0,0,0.0
1988-01-14,861.5999756,861.5999756,861.5999756,861.5999756,861.5999756,0,0,0.0
1988-01-15,869.7999878,869.7999878,869.7999878,869.7999878,869.7999878,0,0,0.0
1988-01-18,917.5999756,917.5999756,917.5999756,917.5999756,917.5999756,0,0,0.0
1988-01-19,912.2000122,912.2000122,912.2000122,912.2000122,912.2000122,0,0,0.0
1988-01-20,924.0999756,924.0999756,924.0999756,924.0999756,924.0999756,0,0,0.0
1988-01-21,909.5999756,909.5999756,909.5999756,909.5999756,909.5999756,0,0,0.0
1988-01-22,904.2000122,904.2000122,904.2000122,904.2000122,904.2000122,0,0,0.0
1988-01-25,908.9000244,908.9000244,908.9000244,908.9000244,908.9000244,0,0,0.0
1988-01-26,907.4000244,907.4000244,907.4000244,907.4000244,907.4000244,0,0,0.0
1988-01-27,897.4000244,897.4000244,897.4000244,897.4000244,897.4000244,0,0,0.0
1988-01-28,903.7000122,903.7000122,903.7000122,903.7000122,903.7000122,0,0,0.0
1988-01-29,908.9000244,908.9000244,908.9000244,908.9000244,908.9000244,0,0,0.0
1988-02-01,892.0,892.0,892.0,892.0,892.0,0,0,0.0
1988-02-02,888.2000122,888.2000122,888.2000122,888.2000122,888.2000122,0,0,0.0
1988-02-03,895.5,895.5,895.5,895.5,895.5,0,0,0.0
1988-02-04,882.0999756,882.0999756,882.0999756,882.0999756,882.0999756,0,0,0.0
1988-02-05,869.9000244,869.9000244,869.9000244,869.9000244,869.9000244,0,0,0.0
1988-02-08,859.2000122,859.2000122,859.2000122,859.2000122,859.2000122,0,0,0.0
1988-02-09,851.7999878,851.7999878,851.7999878,851.7999878,851.7999878,0,0,0.0
1988-02-10,857.7000122,857.7000122,857.7000122,857.7000122,857.7000122,0,0,0.0
1988-02-11,866.7000122,866.7000122,866.7000122,866.7000122,866.7000122,0,0,0.0
1988-02-12,873.2000122,873.2000122,873.2000122,873.2000122,873.2000122,0,0,0.0
1988-02-15,882.0999756,882.0999756,882.0999756,882.0999756,882.0999756,0,0,0.0
1988-02-16,886.5999756,886.5999756,886.5999756,886.5999756,886.5999756,0,0,0.0
1988-02-19,890.0,890.0,890.0,890.0,890.0,0,0,0.0
1988-02-22,901.7000122,901.7000122,901.7000122,901.7000122,901.7000122,0,0,0.0
1988-02-23,894.2000122,894.2000122,894.2000122,894.2000122,894.2000122,0,0,0.0
1988-02-24,892.4000244,892.4000244,892.4000244,892.4000244,892.4000244,0,0,0.0
1988-02-25,889.2000122,889.2000122,889.2000122,889.2000122,889.2000122,0,0,0.0
1988-02-26,888.2000122,888.2000122,888.2000122,888.2000122,888.2000122,0,0,0.0
1988-02-29,888.7999878,888.7999878,888.7999878,888.7999878,888.7999878,0,0,0.0
1988-03-01,890.2999878,890.2999878,890.2999878,890.2999878,890.2999878,0,0,0.0
1988-03-02,892.2999878,892.2999878,892.2999878,892.2999878,892.2999878,0,0,0.0
1988-03-03,912.4000244,912.4000244,912.4000244,912.4000244,912.4000244,0,0,0.0
1988-03-04,920.5999756,920.5999756,920.5999756,920.5999756,920.5999756,0,0,0.0
1988-03-07,915.7000122,915.7000122,915.7000122,915.7000122,915.7000122,0,0,0.0
1988-03-08,917.5999756,917.5999756,917.5999756,917.5999756,917.5999756,0,0,0.0
1988-03-09,932.2999878,932.2999878,932.2999878,932.2999878,932.2999878,0,0,0.0
1988-03-10,938.4000244,938.4000244,938.4000244,938.4000244,938.4000244,0,0,0.0
1988-03-11,940.5999756,940.5999756,940.5999756,940.5999756,940.5999756,0,0,0.0
1988-03-14,948.0,948.0,948.0,948.0,948.0,0,0,0.0
