date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap
1949-05-16,176.21,176.21,176.21,176.21,176.21,0,0,176.21
1949-05-17,174.8,174.8,174.8,174.8,174.8,0,0,174.8
1949-05-18,172.53,172.53,172.53,172.53,172.53,0,0,172.53
1949-05-19,171.34,171.34,171.34,171.34,171.34,0,0,171.34
1949-05-20,169.2,169.2,169.2,169.2,169.2,0,0,169.2
1949-05-23,171.85,171.85,171.85,171.85,171.85,0,0,171.85
1949-05-24,172.75,172.75,172.75,172.75,172.75,0,0,172.75
1949-05-25,171.53,171.53,171.53,171.53,171.53,0,0,171.53
1949-05-26,170.43,170.43,170.43,170.43,170.43,0,0,170.43
1949-05-27,172.76,172.76,172.76,172.76,172.76,0,0,172.76
1949-05-30,176.21,176.21,176.21,176.21,176.21,0,0,176.21
1949-05-31,176.52,176.52,176.52,176.52,176.52,0,0,176.52
1949-06-01,175.97,175.97,175.97,175.97,175.97,0,0,175.97
1949-06-02,174.76,174.76,174.76,174.76,174.76,0,0,174.76
1949-06-03,175.48,175.48,175.48,175.48,175.48,0,0,175.48
1949-06-06,174.92,174.92,174.92,174.92,174.92,0,0,174.92
1949-06-07,173.83,173.83,173.83,173.83,173.83,0,0,173.83
1949-06-08,171.53,171.53,171.53,171.53,171.53,0,0,171.53
1949-06-09,170.15,170.15,170.15,170.15,170.15,0,0,170.15
1949-06-10,167.98,167.98,167.98,167.98,167.98,0,0,167.98
1949-06-13,165.27,165.27,165.27,165.27,165.27,0,0,165.27
1949-06-14,158.98,158.98,158.98,158.98,158.98,0,0,158.98
1949-06-15,153.81,153.81,153.81,153.81,153.81,0,0,153.81
1949-06-16,157.8,157.8,157.8,157.8,157.8,0,0,157.8
1949-06-17,160.13,160.13,160.13,160.13,160.13,0,0,160.13
1949-06-20,155.45,155.45,155.45,155.45,155.45,0,0,155.45
1949-06-21,152.99,152.99,152.99,152.99,152.99,0,0,152.99
1949-06-22,155.01,155.01,155.01,155.01,155.01,0,0,155.01
1949-06-23,155.76,155.76,155.76,155.76,155.76,0,0,155.76
1949-06-24,154.04,154.04,154.04,154.04,154.04,0,0,154.04
1949-06-27,150.58,150.58,150.58,150.58,150.58,0,0,150.58
1949-06-28,147.13,147.13,147.13,147.13,147.13,0,0,147.13
1949-06-29,146.14,146.14,146.14,146.14,146.14,0,0,146.14
1949-06-30,146.92,146.92,146.92,146.92,146.92,0,0,146.92
1949-07-01,147.37,147.37,147.37,147.37,147.37,0,0,147.37
1949-07-04,149.14,149.14,149.14,149.14,149.14,0,0,149.14
1949-07-05,146.52,146.52,146.52,146.52,146.52,0,0,146.52
1949-07-06,144.18,144.18,144.18,144.18,144.18,0,0,144.18
1949-07-07,143.66,143.66,143.66,143.66,143.66,0,0,143.66
1949-07-08,142.16,142.16,142.16,142.16,142.16,0,0,142.16
1949-07-11,135.84,135.84,135.84,135.84,135.84,0,0,135.84
1949-07-12,134.8,134.8,134.8,134.8,134.8,0,0,134.8
1949-07-13,140.02,140.02,140.02,140.02,140.02,0,0,140.02
1949-07-14,141.28,141.28,141.28,141.28,141.28,0,0,141.28
1949-07-15,142.29,142.29,142.29,142.29,142.29,0,0,142.29
